University,Status,Target Major,Term,Q,V,AWA,Total,TOEFL,UG College,UG Major,CGPA,Papers,Work Ex
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,164,147,3,311,107,Vasavi College of Engineering,Information Technology,78,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,161,146,2.5,307,104,Siddaganga Institute Of Technology,Computer Science,8.33,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,169,151,3.5,320,106,Heritage Institute of Technology,Information Technology,8.23,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,160,150,4,310,95,LD College of Engineering,ECE,7.97,1,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,161,149,3.5,310,N/A,"Atharva College Of Engineering, Malad",Computer Science,8.8,0,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,159,155,3,314,7.5,"P.E.S. Institute of Technology, Bangalore",Computer Science,7.12,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,162,152,3,314,101,NIT Calicut,Computer Science,7,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,161,154,4,315,105,Vellore Institute of Technology,Information Technology,9.24,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2012,166,145,0,311,98,"Vidyalankar Institute of Technology, Mumbai",Computer Science,63,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,163,151,3,314,114,RNSIT,Computer Science,65.49,0,12 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,166,154,3.5,320,8,gudlavalleru Engineering College,Information Technology,8.9,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,162,140,3,302,7,Pvp Siddhartha Institute Of Technology,EEE,8.8,N/A,30 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,164,143,N/A,307,101,"College of Engineering, Guindy",ECE,8.1,0,30 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,160,153,3,313,100,Sree Vidyanikethan Engineering College,ECE,80.45,2,30 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,166,154,4,320,102,velammal institute of technolog,Computer Science,7.12,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,154,149,3.5,303,107,PES Modern College Of Engineering,Computer Science,56,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2016,159,151,3.5,310,95,"Ramdevbaba college of engineering and management, Nagpur",Computer Science,62.5,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,162,155,4,317,101,Kalinga Institute Of Industrial Technology,EEE,8.65,N/A,51 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,156,155,4,311,98,PES Modern College Of Engineering,Information Technology,6.9,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,159,146,4,305,N/A,Motilal Nehru National Institute of Technology Allahabad,Computer Science,7.65,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,163,154,3.5,317,112,"Techno India,Salt Lake",Computer Science,7.93,N/A,28 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,159,146,2.5,305,98,Bangalore Institute of Technology,Computer Science,74.1,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,162,153,4,315,7.5,Maharashtra Institute Of Technology,Information Technology,8.99,1,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,161,153,3.5,314,105,Narula Institute Of Technology,Information Technology,7.95,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,164,150,3.5,314,108,"Vidyalankar Institute of Technology, Mumbai",Computer Science,8.46,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,168,149,3,317,106,IIT Bombay,EEE,7.07,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,163,160,4.5,323,110,Heritage Institute of Technology,ECE,8.9,N/A,29 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,163,147,3.5,310,100,FCRIT,Computer Science,68.9,N/A,15 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,157,152,4,309,106,SRM University,Computer Science,9.11,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,167,140,3,307,81,NIT Calicut,ECE,8.71,0,18 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,168,155,3.5,323,107,Thiagarajar college of Engineering,Computer Science,9,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,162,144,4,306,107,Dharamsinh Desai Institute of Technology,Computer Science,8.1,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,161,157,3,318,114,Guindy College of engineering,Computer Science,7.37,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,150,163,3,313,103,Nitte Meenakshi Institute Of Technology,Computer Science,8.37,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,162,151,3,313,N/A,"Vidyavardhini's College Of Engineering And Technology, Vasai",Computer Science,75.73,N/A,28 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,163,149,3,312,100,Manipal Institute of Technology,Computer Science,7.91,N/A,30 Mo
"University of Texas, Dallas",Reject,Computer Science,Spring 2018,152,139,1.5,291,6.5,Vellore Institute of Technology,ECE,7,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,166,153,4,319,8,MANAV RACHNA INTERNATIONAL UNIVERSITY,Computer Science,7.25,N/A,23 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,163,152,4,315,108,A,Computer Science,8.5,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2015,159,143,0,302,95,K G Reddy college of Engineering and Technology,ECE,82,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,164,152,4,316,97,"Vidyalankar Institute of Technology, Mumbai",Information Technology,7.3,0,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,160,149,3,309,101,SRM University,ECE,8.89,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Spring 2019,164,147,3,311,7.5,Sikkim Manipal Institute of Technology,ECE,8.47,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,169,148,4,317,103,"BITS Pilani, Pilani Campus",EEE,7.98,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2016,162,159,3,321,116,University of Pune,ECE,54,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,161,146,3.5,307,93,"Government College of Engineering, Aurangabad",Computer Science,8.83,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,164,148,3,312,95,Vasavi College of Engineering,Information Technology,83.4,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Spring 2017,159,143,3,302,7,Mepco Schlenk Engineering College,ECE,8.33,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,168,162,5.5,330,117,Sardar Patel Institute of Technology,Computer Science,8.45,2,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,158,146,3,304,106,"JNTU, Hyderabad",Computer Science,83.1,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2015,165,146,0,311,100,Apex International Institute of Technology,Computer Science,9.13,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Spring 2019,163,159,4.5,322,115,"Vivekanand Education Society's Institute of Technology, Mumbai",Computer Science,67.9,N/A,21 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,157,148,3,305,91,Amrita University Coimbatore Campus,Computer Science,8.09,1,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,158,153,4,311,116,jssate,Computer Science,67.36,N/A,41 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,162,150,2.5,312,102,uttar pradesh technical university,ECE,76.01,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Spring 2016,165,149,4,314,105,"Pondicherry University, Pondicherry",Information Technology,8.54,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,160,152,3,312,104,G H Patel College Of Engineering & Technology,Information Technology,7.98,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,160,150,3.5,310,N/A,P.S.G coll,Computer Science,8.53,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,164,152,3.5,316,97,SRM University,Computer Science,8.46,N/A,30 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,168,151,3.5,319,109,Vellore Institute of Technology,Computer Science,8.35,N/A,12 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,164,161,4,325,111,University of Mumbai,Computer Science,8.3,N/A,17 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,161,147,4,308,97,SSN College of Engineering,Computer Science,80.1,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,154,156,3,310,112,Amrita University Coimbatore Campus,Computer Science,9.03,0,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,163,149,3,312,100,Abc,Computer Science,7.2,0,34 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,168,152,4,320,99,guru nanak dev university,Computer Science,8.71,0,29 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,170,156,3,326,107,IIT Bhubaneswar,Mechanical Engineering,8,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,163,151,3,314,89,Amrita University Coimbatore Campus,EEE,7.11,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,158,142,3,300,96,Thiagarajar college of Engineering,Computer Science,8.94,N/A,74 Mo
"University of Texas, Dallas",Admit,Computer Science,Spring 2018,159,150,3.5,309,108,guru gobind singh indraprastha university,ECE,74,2,23 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,166,152,N/A,318,N/A,PSG College of Technology,EEE,8.37,N/A,18 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2019,158,154,4,312,102,BVB college of engineering hubli,Computer Science,9.12,N/A,2 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,141,163,3,304,N/A,DJ Sanghvi College of Engineering,ECE,6.82,N/A,15 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,162,143,4,305,93,VR Siddhartha engineering college,Computer Science,8.17,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,163,150,4,313,93,"BITS Pilani, Pilani Campus",Computer Science,6.46,N/A,17 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,162,149,4,311,109,Sapthagiri College Of Engineering,Computer Science,79,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,161,161,0,322,107,University of Petroleum and Energy Studies,Computer Science,88,N/A,0 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2018,163,151,3,314,91,"B.M.S. College of Engineering, Bangalore",ECE,8.05,N/A,23 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,163,151,3.5,314,108,MH Saboo Siddik College Of Engineering,Information Technology,57.67,1,48 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2017,159,151,2.5,310,95,silicon institute of technology,Information Technology,8.71,N/A,0 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2017,162,152,3,314,85,University of Pune,Computer Science,63.4,1,32 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2018,163,153,4.5,316,N/A,Dayananda Sagar College of Engineering,Computer Science,73.51,1,17 Mo
"University of Texas, Dallas",Reject,Computer Science,Fall 2019,163,154,5,317,109,"St. Francis Institute Of Technology (SFIT), Borivali",Information Technology,69,N/A,42 Mo
"University of Texas, Dallas",Admit,Computer Science,Fall 2016,168,145,3,313,96,Gujarat Technological University,Information Technology,8.62,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,168,157,3,325,115,Gitam University,Computer Science,8.5,0,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,149,0,316,7,SRM University,Computer Science,9.4,N/A,6 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,158,143,0,301,6,"KC College Of Engineering And Management Studies And Research, Kopri",EEE,58,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,144,3,311,99,Ahmedabad University,Information Technology,7.95,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,162,149,3.5,311,102,MBM Engineering College,Computer Science,67.8,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,161,154,3.5,315,104,DJ Sanghvi College of Engineering,Computer Science,8.54,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,155,3.5,319,N/A,"Govt. engineering college, Bikaner",Computer Science,76.18,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,165,161,4,326,115,K. J. Somaiya College of Engineering,Computer Science,6.78,1,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,160,151,4,311,108,DJ Sanghvi College of Engineering,Computer Science,9.3,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,165,152,N/A,317,111,BNM Institute Of Technology,Computer Science,72.48,N/A,28 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,161,156,3,317,106,Indus university,Computer Science,6,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,153,143,3.5,296,89,Mahatma Gandhi Mission College of Engineering And Technology,Computer Science,58,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Spring 2019,165,146,3,311,95,SRM University,Information Technology,8.79,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,162,152,0,314,92,N/A,N/A,N/A,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,170,153,4,323,N/A,Manipal Institute of Technology,Computer Science,8.01,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,161,148,3,309,7,kits,Information Technology,61,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,159,146,2.5,305,98,Bangalore Institute of Technology,Computer Science,74.1,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,156,145,3,301,6.5,Anna University,Computer Science,7,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,153,0,319,98,"P.E.S. Institute of Technology, Bangalore",EEE,8.74,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,168,153,3.5,321,105,"BITS Pilani, Dubai Campus",Computer Science,7.58,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,161,144,3,305,105,K. J. Somaiya College of Engineering,Computer Science,8.23,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,164,155,4,319,117,SRM University,Computer Science,8.74,1,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,149,3,316,102,"Thapar University, Punjab",Computer Science,8.41,N/A,18 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,155,157,4,312,8,"SCET, Surat",Computer Science,8.4,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,163,154,3,317,97,"institute of management studies, DAVV",Instrumentation Engineering,72,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,156,152,4,308,102,Shree L R Tiwari College Of Engineering,Computer Science,7.66,3,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,156,148,3.5,304,96,NMIMS Mukesh Patel School of Technology Management and Engineering,Information Technology,67.5,1,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,159,155,4.5,314,8,"Bharati Vidyapeeth College Of Engineering,PUNE",Information Technology,56.49,N/A,25 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,160,149,3,309,100,Pimpri Chinchwad College Of Engineering,Computer Science,70,N/A,12 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,164,145,3,309,82,K. J. Somaiya College of Engineering,Computer Science,65,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,162,154,4.5,316,108,SSN College of Engineering,Computer Science,8.07,N/A,30 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,160,149,3.5,309,94,Uiet,Computer Science,69,N/A,32 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,159,157,4,316,110,West Bengal University of Technology,Computer Science,8.41,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,159,151,3,310,101,BRCM college of Engineering and Technology,Computer Science,68,N/A,30 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,166,147,4,313,106,Maharaja Agrasen Institute of Technology,Computer Science,73.9,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,169,150,3,319,101,SVITS,Computer Science,7.57,0,4 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2014,170,156,4,326,108,Maharashtra Institute of Technology,Computer Science,56,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,167,152,3,319,105,Nirma University,Instrumentation Engineering,7.51,N/A,38 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,165,152,3.5,317,111,DJ Sanghvi College of Engineering,Computer Science,8.12,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,158,150,4,308,94,Manipal U,Computer Science,8.49,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,161,146,3,307,97,K. J. Somaiya College of Engineering,Information Technology,56,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,164,147,3.5,311,92,"AP Shah Institute Of Technology, Thane",Computer Science,9.2,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,168,140,3,308,6.5,Keshav Memorial Institute of Technology (KMIT),Computer Science,68,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,163,4,329,102,Dhirubhai Ambani Institute of Information & Communication Technology (DA-II,Information Technology,7.15,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,153,4,320,106,DJ Sanghvi College of Engineering,Computer Science,8.68,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,167,163,4.5,330,115,Ramrao Adik Institute of Technology,Computer Science,62,N/A,18 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Spring 2018,160,145,3,305,8,VNR Vignana Jyothi Institute of Engineering and Technology,Computer Science,8,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,162,158,3.5,320,7.5,SRM University,Computer Science,6.7,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,165,152,4,317,104,skncoe vadgoan,Computer Science,60.44,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,166,159,3,325,104,Thakur College of Engineering and Technology,Information Technology,6.89,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2017,155,152,5,307,107,"MPSTME, NMIMS University",Computer Science,69.74,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2013,155,157,3,312,108,"Atharva College Of Engineering, Malad",Information Technology,69,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Spring 2016,157,150,0,307,N/A,JBIET,Computer Science,68,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,167,154,3.5,321,109,sarvajanik college of engineering and technology,Computer Science,7.5,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,158,149,N/A,307,105,Rajiv Gandhi Institute of Technology,Computer Science,6.8,1,10 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,156,N/A,318,N/A,SRM University,Information Technology,9.5,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,162,149,3.5,311,99,Visvesvaraya Technological University,Computer Science,79,1,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,163,151,N/A,314,N/A,UPTU,Information Technology,73.36,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,163,154,4,317,113,DJ Sanghvi College of Engineering,Computer Science,71.3,1,16 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,151,4,316,N/A,JNTUK,Computer Science,8.18,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2017,164,145,3,309,101,Shaheed sukhdev college of business studies,Computer Science,85.2,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,160,144,N/A,304,N/A,Usha Pravin Gandhi College Of Management SVKM,Information Technology,75,0,6 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,156,4.5,317,8,G L Bajaj Institute of Technology and Management,Computer Science,76.1,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,148,N/A,315,N/A,"College of Engineering, Guindy",Computer Science,7.34,2,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Spring 2017,161,144,3,305,89,"P.E.S. Institute of Technology, Bangalore",Computer Science,70.2,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,161,147,3,308,96,M S Ramaiah Institute of Technology,Telecommunication Engineering,8.6,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,152,4,314,106,DJ Sanghvi College of Engineering,Computer Science,8.39,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,164,154,3.5,318,99,VJTI,Information Technology,7.8,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,164,154,4,318,101,Visvesvaraya Technological University,ECE,74.54,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,163,152,3,315,105,Father Conceicao Rodrigues College of Engineering,Production Engineering,6.9,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,166,145,4,311,104,"P.E.S. Institute of Technology, Bangalore",Computer Science,9.1,0,17 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2016,164,141,3,305,96,Vasavi College of Engineering,Computer Science,75,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,157,148,3.5,305,104,Thakur College of Engineering and Technology,Information Technology,7,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Spring 2016,160,156,4,316,98,"Sardar Vallabhbhai Patel Institute of Technology, Vasad",Computer Science,6,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,164,151,4,315,114,Dharmsinh Desai University,Computer Science,6.52,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,164,160,0,324,114,N/A,N/A,N/A,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,145,3,312,N/A,andhra university,Computer Science,7.81,N/A,31 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Spring 2016,167,150,4,317,94,Sreenidhi Institute of Science and Technology,Information Technology,68,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2019,170,151,4,321,103,"Fr. C. Rodrigues Institute Of Technology, Vashi",Computer Science,9,0,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,165,160,4,325,110,Vellore Institute of Technology,Computer Science,7.68,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,161,150,3,311,100,"Atharva College Of Engineering, Malad",Information Technology,7.64,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,162,146,3.5,308,0,Maharaja Agrasen Institute of Technology,Information Technology,71.42,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2015,166,144,3,310,100,University of Mumbai,Computer Science,62.56,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,167,153,N/A,320,N/A,Vellore Institute of Technology,Computer Science,7.6,1,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2015,166,144,3,310,93,N/A,N/A,N/A,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2016,162,149,3,311,100,Global Institute of Technology,ECE,73.7,N/A,0 Mo
NYU Tandon School of Engineering,Admit,Computer Science,Fall 2018,167,155,4,322,115,Muffakham Jah College of Engineering and Technology,Computer Science,67.5,N/A,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2018,157,153,3.5,310,99,University of Pune,Computer Science,71,2,0 Mo
NYU Tandon School of Engineering,Reject,Computer Science,Fall 2019,157,146,3.5,303,94,St. Joseph's Institute Of Technology,Computer Science,8.41,N/A,13 Mo
